title,subtitle,date,txt,gif,pdf,openURL,index
Constantinople : and the scenery of the seven churches of Asia Minor,"Allom, Thomas, 1804-1872",1839,https://archive.org/download/constantinoplesc02allo/constantinoplesc02allo_djvu.txt,https://archive.org/download/constantinoplesc02allo/constantinoplesc02allo.gif,https://archive.org/download/constantinoplesc02allo/constantinoplesc02allo.pdf,https://archive.org/details/constantinoplesc02allo,OLconstantinoplesc02allo.txt
Constantinople,"Grosvenor, Edwin A. (Edwin Augustus), 1845-1936",1895,https://archive.org/download/constantinople01grosuoft/constantinople01grosuoft_djvu.txt,https://archive.org/download/constantinople01grosuoft/constantinople01grosuoft.gif,https://archive.org/download/constantinople01grosuoft/constantinople01grosuoft.pdf,https://archive.org/details/constantinople01grosuoft,OLconstantinople01grosuoft.txt
"Constantinople and its problems : its peoples, customs, religions and progress","Dwight, Henry Otis, 1943-1917",1901,https://archive.org/download/constantinopleit00dwiguoft/constantinopleit00dwiguoft_djvu.txt,https://archive.org/download/constantinopleit00dwiguoft/constantinopleit00dwiguoft.gif,https://archive.org/download/constantinopleit00dwiguoft/constantinopleit00dwiguoft.pdf,https://archive.org/details/constantinopleit00dwiguoft,OLconstantinopleit00dwiguoft.txt
Constantinople : the story of the old capital of the empire,"Hutton, William Holden, 1860-1930",1900,https://archive.org/download/constantinoplest00hutt/constantinoplest00hutt_djvu.txt,https://archive.org/download/constantinoplest00hutt/constantinoplest00hutt.gif,https://archive.org/download/constantinoplest00hutt/constantinoplest00hutt.pdf,https://archive.org/details/constantinoplest00hutt,OLconstantinoplest00hutt.txt
Constantinople; tr. by Maria Hornor Lansdale,"De Amicis, Edmondo, 1846-1908",1896,https://archive.org/download/constantinopletr02deamuoft/constantinopletr02deamuoft_djvu.txt,https://archive.org/download/constantinopletr02deamuoft/constantinopletr02deamuoft.gif,https://archive.org/download/constantinopletr02deamuoft/constantinopletr02deamuoft.pdf,https://archive.org/details/constantinopletr02deamuoft,OLconstantinopletr02deamuoft.txt
Constantinople : and the scenery of the seven churches of Asia Minor,"Allom, Thomas, 1804-1872",1839,https://archive.org/download/constantinoplesc01allo/constantinoplesc01allo_djvu.txt,https://archive.org/download/constantinoplesc01allo/constantinoplesc01allo.gif,https://archive.org/download/constantinoplesc01allo/constantinoplesc01allo.pdf,https://archive.org/details/constantinoplesc01allo,OLconstantinoplesc01allo.txt
Constantinople old and new,"Dwight, Harrison Griswold, 1875-",1915,https://archive.org/download/constantinopleol00dwiguoft/constantinopleol00dwiguoft_djvu.txt,https://archive.org/download/constantinopleol00dwiguoft/constantinopleol00dwiguoft.gif,https://archive.org/download/constantinopleol00dwiguoft/constantinopleol00dwiguoft.pdf,https://archive.org/details/constantinopleol00dwiguoft,OLconstantinopleol00dwiguoft.txt
The story of Jewad; a romance;,"'Ali 'Aziz, efendi, of Crete, d. 1798?",1884,https://archive.org/download/storyofjewadroma00aliarich/storyofjewadroma00aliarich_djvu.txt,https://archive.org/download/storyofjewadroma00aliarich/storyofjewadroma00aliarich.gif,https://archive.org/download/storyofjewadroma00aliarich/storyofjewadroma00aliarich.pdf,https://archive.org/details/storyofjewadroma00aliarich,OLstoryofjewadroma00aliarich.txt
The walls of Constantinople,"Baker, B. Granville (Bernard Granville), 1870-1957",[1910],https://archive.org/download/wallsofconstanti00bakerich/wallsofconstanti00bakerich_djvu.txt,https://archive.org/download/wallsofconstanti00bakerich/wallsofconstanti00bakerich.gif,https://archive.org/download/wallsofconstanti00bakerich/wallsofconstanti00bakerich.pdf,https://archive.org/details/wallsofconstanti00bakerich,OLwallsofconstanti00bakerich.txt
"Description of a view of Constantinople, with its European and Asiatic suburbs, and a great extent of surrounding country : now exhibiting at the Panorama Royal, Leicester Square ; painted by the proprietor, Robert Burford ; assisted by H.C. Selous, from drawings taken on the spot by William J. Smith","Burford, Robert, 1791-1861",1846,https://archive.org/download/descriptionofvie00burf_42/descriptionofvie00burf_42_djvu.txt,,https://archive.org/download/descriptionofvie00burf_42/descriptionofvie00burf_42.pdf,https://archive.org/details/descriptionofvie00burf_42,OLdescriptionofvie00burf_42.txt
In and around Stamboul,Edmund Hornby,1858,https://archive.org/download/dli.ministry.00261/10121.E16391_In_and_around_Stamboul_Vol_1_djvu.txt,,https://archive.org/download/dli.ministry.00261/10121.E16391_In_and_around_Stamboul_Vol_1.pdf,https://archive.org/details/dli.ministry.00261,OLdli.ministry.00261.txt
Constantinople during the crimean war,"Hornby, Lady",1863,https://archive.org/download/dli.ministry.11475/E16260_constantinople_during_the_Crimean__djvu.txt,,https://archive.org/download/dli.ministry.11475/E16260_constantinople_during_the_Crimean_.pdf,https://archive.org/details/dli.ministry.11475,OLdli.ministry.11475.txt
"The Harem : an account of the institution as it existed in the palace of the Turkish sultans, with a history of the Grand Seraglio from its foundation to the present time","Penzer, N. M. (Norman Mosley), 1892-",n.d,https://archive.org/download/haremaccountofin00penquoft/haremaccountofin00penquoft_djvu.txt,https://archive.org/download/haremaccountofin00penquoft/haremaccountofin00penquoft.gif,https://archive.org/download/haremaccountofin00penquoft/haremaccountofin00penquoft.pdf,https://archive.org/details/haremaccountofin00penquoft,OLharemaccountofin00penquoft.txt
Byzantine Constantinople : the walls of the city and adjoining historical sites,"Van Millingen, Alexander, 1840-1915",1899,https://archive.org/download/byzantineconstan00vanm/byzantineconstan00vanm_djvu.txt,https://archive.org/download/byzantineconstan00vanm/byzantineconstan00vanm.gif,https://archive.org/download/byzantineconstan00vanm/byzantineconstan00vanm.pdf,https://archive.org/details/byzantineconstan00vanm,OLbyzantineconstan00vanm.txt
Byzantine Constantinople : the walls of the city and adjoining historical sites,"Van Millingen, Alexander, 1840-1915",1899,https://archive.org/download/byzantineconsta00vanm/byzantineconsta00vanm_djvu.txt,https://archive.org/download/byzantineconsta00vanm/byzantineconsta00vanm.gif,https://archive.org/download/byzantineconsta00vanm/byzantineconsta00vanm.pdf,https://archive.org/details/byzantineconsta00vanm,OLbyzantineconsta00vanm.txt
Constantinople : sketch of its history from its foundation to its conquest by the Turks in 1453,"Brodribb, William Jackson, 1829-1905",1879,https://archive.org/download/constantinoplesk00broduoft/constantinoplesk00broduoft_djvu.txt,https://archive.org/download/constantinoplesk00broduoft/constantinoplesk00broduoft.gif,https://archive.org/download/constantinoplesk00broduoft/constantinoplesk00broduoft.pdf,https://archive.org/details/constantinoplesk00broduoft,OLconstantinoplesk00broduoft.txt
Constantinople,"Waters, Clara Erskine Clement, 1834-1916",c1895,https://archive.org/download/constantinople00wate/constantinople00wate_djvu.txt,https://archive.org/download/constantinople00wate/constantinople00wate.gif,https://archive.org/download/constantinople00wate/constantinople00wate.pdf,https://archive.org/details/constantinople00wate,OLconstantinople00wate.txt
"Forty years in the Turkish empire or, Memoirs of Rev. William Goodell","Goodell, William, 1792-1867",1876,https://archive.org/download/turkishempire00goodrich/turkishempire00goodrich_djvu.txt,https://archive.org/download/turkishempire00goodrich/turkishempire00goodrich.gif,https://archive.org/download/turkishempire00goodrich/turkishempire00goodrich.pdf,https://archive.org/details/turkishempire00goodrich,OLturkishempire00goodrich.txt
"The prince of India; or, why Constantinople fell","Wallace, Lew, 1827-1905",1893,https://archive.org/download/princeindiaorwh03wallgoog/princeindiaorwh03wallgoog_djvu.txt,https://archive.org/download/princeindiaorwh03wallgoog/princeindiaorwh03wallgoog.gif,https://archive.org/download/princeindiaorwh03wallgoog/princeindiaorwh03wallgoog.pdf,https://archive.org/details/princeindiaorwh03wallgoog,OLprinceindiaorwh03wallgoog.txt
"Report on Armenian orphans & schools under the care of J. Rendel and Helen B. Harris in Asia Minor : from May, 1898 to May, 1899",,1899,https://archive.org/download/reportonarmenian00unse/reportonarmenian00unse_djvu.txt,,https://archive.org/download/reportonarmenian00unse/reportonarmenian00unse.pdf,https://archive.org/details/reportonarmenian00unse,OLreportonarmenian00unse.txt
Speaking of the Turks,"Mufti-zada, K. Ziya, bey",1922,https://archive.org/download/speakingofturks00muftrich/speakingofturks00muftrich_djvu.txt,https://archive.org/download/speakingofturks00muftrich/speakingofturks00muftrich.gif,https://archive.org/download/speakingofturks00muftrich/speakingofturks00muftrich.pdf,https://archive.org/details/speakingofturks00muftrich,OLspeakingofturks00muftrich.txt
Fifty years in Constantinople and recollections of Robert college,"Washburn, George, 1833-1915",1909,https://archive.org/download/fiftyyearsincon00conggoog/fiftyyearsincon00conggoog_djvu.txt,https://archive.org/download/fiftyyearsincon00conggoog/fiftyyearsincon00conggoog.gif,https://archive.org/download/fiftyyearsincon00conggoog/fiftyyearsincon00conggoog.pdf,https://archive.org/details/fiftyyearsincon00conggoog,OLfiftyyearsincon00conggoog.txt
Customs and habits of the Turks,"Smith, Albert, 1816-1860",1856,https://archive.org/download/customshabitsoft00smitiala/customshabitsoft00smitiala_djvu.txt,https://archive.org/download/customshabitsoft00smitiala/customshabitsoft00smitiala.gif,https://archive.org/download/customshabitsoft00smitiala/customshabitsoft00smitiala.pdf,https://archive.org/details/customshabitsoft00smitiala,OLcustomshabitsoft00smitiala.txt
"Three years in Constantinople; or, Domestic manners of the Turks in 1844","White, Charles, 1793-1861",1845,https://archive.org/download/threeyearsincons01whituoft/threeyearsincons01whituoft_djvu.txt,https://archive.org/download/threeyearsincons01whituoft/threeyearsincons01whituoft.gif,https://archive.org/download/threeyearsincons01whituoft/threeyearsincons01whituoft.pdf,https://archive.org/details/threeyearsincons01whituoft,OLthreeyearsincons01whituoft.txt
Fifty years in Constantinople and recollections of Robert college,"Washburn, George, 1833-1915",1909,https://archive.org/download/fiftyyearsincon01conggoog/fiftyyearsincon01conggoog_djvu.txt,https://archive.org/download/fiftyyearsincon01conggoog/fiftyyearsincon01conggoog.gif,https://archive.org/download/fiftyyearsincon01conggoog/fiftyyearsincon01conggoog.pdf,https://archive.org/details/fiftyyearsincon01conggoog,OLfiftyyearsincon01conggoog.txt
Mahmoud,Mahmoud,1835,https://archive.org/download/mahmoud00mahmgoog/mahmoud00mahmgoog_djvu.txt,https://archive.org/download/mahmoud00mahmgoog/mahmoud00mahmgoog.gif,https://archive.org/download/mahmoud00mahmgoog/mahmoud00mahmgoog.pdf,https://archive.org/details/mahmoud00mahmgoog,OLmahmoud00mahmgoog.txt
Speaking of the Turks,"Mufty-Zade K. Zia, bey",[1922?],https://archive.org/download/speakingofturks00muftuoft/speakingofturks00muftuoft_djvu.txt,https://archive.org/download/speakingofturks00muftuoft/speakingofturks00muftuoft.gif,https://archive.org/download/speakingofturks00muftuoft/speakingofturks00muftuoft.pdf,https://archive.org/details/speakingofturks00muftuoft,OLspeakingofturks00muftuoft.txt
"Illustrated catalogue of antique Oriental weaves of rare and distinctive quality, fine old Persian faiences : Persian lacquers, arms, imperial jewels and other oriental treasures",American Art Association,1914,https://archive.org/download/illustratedcatal00amer_40/illustratedcatal00amer_40_djvu.txt,,https://archive.org/download/illustratedcatal00amer_40/illustratedcatal00amer_40.pdf,https://archive.org/details/illustratedcatal00amer_40,OLillustratedcatal00amer_40.txt
Constantinople,"Van Millingen, Alexander, 1840-1915",1906,https://archive.org/download/Constantinople1906/Constantinople1906_djvu.txt,https://archive.org/download/Constantinople1906/Constantinople1906.gif,https://archive.org/download/Constantinople1906/Constantinople1906.pdf,https://archive.org/details/Constantinople1906,OLConstantinople1906.txt
Constantinople painted by Warwick Goble,"Van Millingen, Alexander van",1906,https://archive.org/download/constantinoplepa00vanmuoft/constantinoplepa00vanmuoft_djvu.txt,https://archive.org/download/constantinoplepa00vanmuoft/constantinoplepa00vanmuoft.gif,https://archive.org/download/constantinoplepa00vanmuoft/constantinoplepa00vanmuoft.pdf,https://archive.org/details/constantinoplepa00vanmuoft,OLconstantinoplepa00vanmuoft.txt
Services at the seventy-fifth anniversary of the establishment of the American mission at Constantinople,,1906,https://archive.org/download/servicesatsevent0000unse/servicesatsevent0000unse_djvu.txt,,https://archive.org/download/servicesatsevent0000unse/servicesatsevent0000unse.pdf,https://archive.org/details/servicesatsevent0000unse,OLservicesatsevent0000unse.txt
The fall of Constantinople,"Neale, J. M. (John Mason), 1818-1866",1920,https://archive.org/download/fallofconstantin0000neal/fallofconstantin0000neal_djvu.txt,,https://archive.org/download/fallofconstantin0000neal/fallofconstantin0000neal.pdf,https://archive.org/details/fallofconstantin0000neal,OLfallofconstantin0000neal.txt
Letters from Constantinople,G. A. M. (Georgina Adelaide Müller),1897,https://archive.org/download/lettersfromconst00gamguoft/lettersfromconst00gamguoft_djvu.txt,https://archive.org/download/lettersfromconst00gamguoft/lettersfromconst00gamguoft.gif,https://archive.org/download/lettersfromconst00gamguoft/lettersfromconst00gamguoft.pdf,https://archive.org/details/lettersfromconst00gamguoft,OLlettersfromconst00gamguoft.txt
Constantinople,"De Amicis, Edmondo, 1846-1908",1878,https://archive.org/download/constantinople00deam/constantinople00deam_djvu.txt,https://archive.org/download/constantinople00deam/constantinople00deam.gif,https://archive.org/download/constantinople00deam/constantinople00deam.pdf,https://archive.org/details/constantinople00deam,OLconstantinople00deam.txt
Constantinople,"De Amicis, Edmondo, 1846-1908",[c1896],https://archive.org/download/constantinople01deam/constantinople01deam_djvu.txt,https://archive.org/download/constantinople01deam/constantinople01deam.gif,https://archive.org/download/constantinople01deam/constantinople01deam.pdf,https://archive.org/details/constantinople01deam,OLconstantinople01deam.txt
"Constantinople, old and new","Dwight, Harry Griswold, 1875-",1915,https://archive.org/download/constantinopleol00dwigrich/constantinopleol00dwigrich_djvu.txt,https://archive.org/download/constantinopleol00dwigrich/constantinopleol00dwigrich.gif,https://archive.org/download/constantinopleol00dwigrich/constantinopleol00dwigrich.pdf,https://archive.org/details/constantinopleol00dwigrich,OLconstantinopleol00dwigrich.txt
Constantinople,"De Amicis, Edmondo, 1846-1908",1878,https://archive.org/download/constantinople00deamiala/constantinople00deamiala_djvu.txt,https://archive.org/download/constantinople00deamiala/constantinople00deamiala.gif,https://archive.org/download/constantinople00deamiala/constantinople00deamiala.pdf,https://archive.org/details/constantinople00deamiala,OLconstantinople00deamiala.txt
Constantinople of to-day. Translated from the French,"Gautier, Théophile, 1811-1872",1854,https://archive.org/download/constantinopleof00gaut/constantinopleof00gaut_djvu.txt,https://archive.org/download/constantinopleof00gaut/constantinopleof00gaut.gif,https://archive.org/download/constantinopleof00gaut/constantinopleof00gaut.pdf,https://archive.org/details/constantinopleof00gaut,OLconstantinopleof00gaut.txt
Constantinople,"Gautier, Théophile, 1811-1872",1901,https://archive.org/download/constantinople10gaut/constantinople10gaut_djvu.txt,https://archive.org/download/constantinople10gaut/constantinople10gaut.gif,https://archive.org/download/constantinople10gaut/constantinople10gaut.pdf,https://archive.org/details/constantinople10gaut,OLconstantinople10gaut.txt
Constantinople. Illustrated by Edwin L. Weeks,"Crawford, F. Marion (Francis Marion), 1854-1909",1895,https://archive.org/download/constantinopleil00crawuoft/constantinopleil00crawuoft_djvu.txt,https://archive.org/download/constantinopleil00crawuoft/constantinopleil00crawuoft.gif,https://archive.org/download/constantinopleil00crawuoft/constantinopleil00crawuoft.pdf,https://archive.org/details/constantinopleil00crawuoft,OLconstantinopleil00crawuoft.txt
"Handbook for travellers in Constantinople, Brûsa, and the Troad : with maps and plans",,1900,https://archive.org/download/handbookfortrave0000unse_y2c7/handbookfortrave0000unse_y2c7_djvu.txt,,https://archive.org/download/handbookfortrave0000unse_y2c7/handbookfortrave0000unse_y2c7.pdf,https://archive.org/details/handbookfortrave0000unse_y2c7,OLhandbookfortrave0000unse_y2c7.txt
An epitome of the civil and literary chronology of Rome and Constantinople from the death of Augustus to the death of Heraclitus;,"Clinton, Henry Fynes, 1781-1852",1853,https://archive.org/download/epitomeofcivilli00clinuoft/epitomeofcivilli00clinuoft_djvu.txt,https://archive.org/download/epitomeofcivilli00clinuoft/epitomeofcivilli00clinuoft.gif,https://archive.org/download/epitomeofcivilli00clinuoft/epitomeofcivilli00clinuoft.pdf,https://archive.org/details/epitomeofcivilli00clinuoft,OLepitomeofcivilli00clinuoft.txt
"Constantinople, old and new","Dwight, Harrison Griswold, 1875-",1915,https://archive.org/download/constantinopleol00dwig/constantinopleol00dwig_djvu.txt,https://archive.org/download/constantinopleol00dwig/constantinopleol00dwig.gif,https://archive.org/download/constantinopleol00dwig/constantinopleol00dwig.pdf,https://archive.org/details/constantinopleol00dwig,OLconstantinopleol00dwig.txt
"Blue and green, or, The gift of God : a romance of Old Constantinople","Pottinger, Henry, Sir, 1789-1856",1879,https://archive.org/download/bluegreenorgifto01pott/bluegreenorgifto01pott_djvu.txt,https://archive.org/download/bluegreenorgifto01pott/bluegreenorgifto01pott.gif,https://archive.org/download/bluegreenorgifto01pott/bluegreenorgifto01pott.pdf,https://archive.org/details/bluegreenorgifto01pott,OLbluegreenorgifto01pott.txt
"Forty years in Constantinople, recollections, 1873-1915","Pears, Edwin, Sir, 1835-1919",1916,https://archive.org/download/fortyyearsincons00pearuoft/fortyyearsincons00pearuoft_djvu.txt,https://archive.org/download/fortyyearsincons00pearuoft/fortyyearsincons00pearuoft.gif,https://archive.org/download/fortyyearsincons00pearuoft/fortyyearsincons00pearuoft.pdf,https://archive.org/details/fortyyearsincons00pearuoft,OLfortyyearsincons00pearuoft.txt
American medical work in Turkey,,1905,https://archive.org/download/americanmedicalw00unse/americanmedicalw00unse_djvu.txt,https://archive.org/download/americanmedicalw00unse/americanmedicalw00unse.gif,https://archive.org/download/americanmedicalw00unse/americanmedicalw00unse.pdf,https://archive.org/details/americanmedicalw00unse,OLamericanmedicalw00unse.txt
"Blue and green, or, The gift of God : a romance of Old Constantinople","Pottinger, Henry, Sir, 1789-1856",1879,https://archive.org/download/bluegreenorgifto02pott/bluegreenorgifto02pott_djvu.txt,https://archive.org/download/bluegreenorgifto02pott/bluegreenorgifto02pott.gif,https://archive.org/download/bluegreenorgifto02pott/bluegreenorgifto02pott.pdf,https://archive.org/details/bluegreenorgifto02pott,OLbluegreenorgifto02pott.txt
"Constantinople to-day; or, The pathfinder survey of Constantinople; a study in oriental social life","Johnson, Clarence Richard, 1886- ed",1922,https://archive.org/download/constantinopleto1922john/constantinopleto1922john_djvu.txt,https://archive.org/download/constantinopleto1922john/constantinopleto1922john.gif,https://archive.org/download/constantinopleto1922john/constantinopleto1922john.pdf,https://archive.org/details/constantinopleto1922john,OLconstantinopleto1922john.txt
"The antiquities of Constantinople : with a description of its situation, the conveniencies of its port, its publick buildings, the statuary, sculpture, architecture, and other curiosities of that city : with cuts explaining the chief of them : in four books","Gilles, Pierre, 1490-1555",1729,https://archive.org/download/antiquitiesofcon00gill/antiquitiesofcon00gill_djvu.txt,https://archive.org/download/antiquitiesofcon00gill/antiquitiesofcon00gill.gif,https://archive.org/download/antiquitiesofcon00gill/antiquitiesofcon00gill.pdf,https://archive.org/details/antiquitiesofcon00gill,OLantiquitiesofcon00gill.txt
"Forty years in the Turkish empire, or, Memoirs of Rev. William Goodell, D.D. : late missionary of the A.B.C.F.M. at Constantinople","Goodell, William, 1792-1867",1877,https://archive.org/download/fortyyearsintur00goodgoog/fortyyearsintur00goodgoog_djvu.txt,https://archive.org/download/fortyyearsintur00goodgoog/fortyyearsintur00goodgoog.gif,https://archive.org/download/fortyyearsintur00goodgoog/fortyyearsintur00goodgoog.pdf,https://archive.org/details/fortyyearsintur00goodgoog,OLfortyyearsintur00goodgoog.txt
"Fifty years in Constantinople, and recollections of Robert college","Washburn, George, 1833-1915",1911,https://archive.org/download/fiftyyearsincons00washuoft/fiftyyearsincons00washuoft_djvu.txt,https://archive.org/download/fiftyyearsincons00washuoft/fiftyyearsincons00washuoft.gif,https://archive.org/download/fiftyyearsincons00washuoft/fiftyyearsincons00washuoft.pdf,https://archive.org/details/fiftyyearsincons00washuoft,OLfiftyyearsincons00washuoft.txt
The beauties of the Bosphorus,"Pardoe, Julia, 1806-1862",1838,https://archive.org/download/beautiesofbospho00parduoft/beautiesofbospho00parduoft_djvu.txt,https://archive.org/download/beautiesofbospho00parduoft/beautiesofbospho00parduoft.gif,https://archive.org/download/beautiesofbospho00parduoft/beautiesofbospho00parduoft.pdf,https://archive.org/details/beautiesofbospho00parduoft,OLbeautiesofbospho00parduoft.txt
"Three years in Constantinople : or, Domestic manners of the Turks in 1844","White, Charles",1846,https://archive.org/download/dli.ministry.06720/10526.E13055_Three_Years_In_Constantinople_or_Domestic_Manners_Of_the_Turks_In_1844_djvu.txt,,https://archive.org/download/dli.ministry.06720/10526.E13055_Three_Years_In_Constantinople_or_Domestic_Manners_Of_the_Turks_In_1844.pdf,https://archive.org/details/dli.ministry.06720,OLdli.ministry.06720.txt
The beauties of the Bosphorus,"Pardoe, Miss (Julia), 1806-1862",1855,https://archive.org/download/beautiesofbospho00pard/beautiesofbospho00pard_djvu.txt,https://archive.org/download/beautiesofbospho00pard/beautiesofbospho00pard.gif,https://archive.org/download/beautiesofbospho00pard/beautiesofbospho00pard.pdf,https://archive.org/details/beautiesofbospho00pard,OLbeautiesofbospho00pard.txt
"Forty years in the Turkish empire : or, Memoirs of Rev. William Goodell, D.D., late missionary of the A.B.C.F.M. at Constantinople","Goodell, William, 1792-1878",1877,https://archive.org/download/fortyyearsinturk00good/fortyyearsinturk00good_djvu.txt,https://archive.org/download/fortyyearsinturk00good/fortyyearsinturk00good.gif,https://archive.org/download/fortyyearsinturk00good/fortyyearsinturk00good.pdf,https://archive.org/details/fortyyearsinturk00good,OLfortyyearsinturk00good.txt
"The prince of India, or, Why Constantinople fell","Wallace, Lew, 1827-1905, author",1893,https://archive.org/download/princeindiaorwh01wallgoog/princeindiaorwh01wallgoog_djvu.txt,https://archive.org/download/princeindiaorwh01wallgoog/princeindiaorwh01wallgoog.gif,https://archive.org/download/princeindiaorwh01wallgoog/princeindiaorwh01wallgoog.pdf,https://archive.org/details/princeindiaorwh01wallgoog,OLprinceindiaorwh01wallgoog.txt
The destruction of the Greek empire and the story of the capture of Constantinople by the Turks,"Pears, Edwin, 1835-1919",1903,https://archive.org/download/destructionofgr00pearuoft/destructionofgr00pearuoft_djvu.txt,https://archive.org/download/destructionofgr00pearuoft/destructionofgr00pearuoft.gif,https://archive.org/download/destructionofgr00pearuoft/destructionofgr00pearuoft.pdf,https://archive.org/details/destructionofgr00pearuoft,OLdestructionofgr00pearuoft.txt
"The prince of India, or, Why Constantinople fell","Wallace, Lew, 1827-1905, author",1893,https://archive.org/download/princeindiaorwh02wallgoog/princeindiaorwh02wallgoog_djvu.txt,https://archive.org/download/princeindiaorwh02wallgoog/princeindiaorwh02wallgoog.gif,https://archive.org/download/princeindiaorwh02wallgoog/princeindiaorwh02wallgoog.pdf,https://archive.org/details/princeindiaorwh02wallgoog,OLprinceindiaorwh02wallgoog.txt
"Forty years in the Turkish Empire : or, memoirs of Rev. William Goodell","Goodell, William, 1792-1867",1884,https://archive.org/download/cu31924031766482/cu31924031766482_djvu.txt,https://archive.org/download/cu31924031766482/cu31924031766482.gif,https://archive.org/download/cu31924031766482/cu31924031766482.pdf,https://archive.org/details/cu31924031766482,OLcu31924031766482.txt
"The prince of India; or, Why Constantinople fell","Wallace, Lew, 1827-1905",[c1893],https://archive.org/download/princeofindiaorw01walluoft/princeofindiaorw01walluoft_djvu.txt,https://archive.org/download/princeofindiaorw01walluoft/princeofindiaorw01walluoft.gif,https://archive.org/download/princeofindiaorw01walluoft/princeofindiaorw01walluoft.pdf,https://archive.org/details/princeofindiaorw01walluoft,OLprinceofindiaorw01walluoft.txt
